C_N_online,C_N_static,r,sum_individual,r_star,r_vs_rstar,temporal_epsilon,static_epsilon,temporal_core,static_core,theorem2_predicts_no_core,theorem4_predicts_safe,n_feasible_coalitions,n_static_coalitions,coalition_reduction_ratio,n,pattern,seed
52.7364,,,193.1104,,,-5.258847,,True,False,False,False,161,1023,0.1574,10,E,42
38.2301,,,175.9239,,,-9.604663,,True,False,False,False,289,1023,0.2825,10,E,123
51.4237,,,200.8782,,,-9.276373,,True,False,False,False,201,1023,0.1965,10,E,7
55.1038,,,208.0111,,,-6.477195,,True,False,False,False,177,1023,0.173,10,E,99
34.0853,,,178.4439,,,-7.647607,,True,False,False,False,39,1023,0.0381,10,E,256
35.723,,,165.9234,,,-0.590821,,True,False,False,False,4095,4095,1.0,12,A,42
35.5195,,,182.0077,,,0.679727,,False,False,False,False,4095,4095,1.0,12,A,123
36.999,,,187.2625,,,-2.066126,,True,False,False,False,4095,4095,1.0,12,A,7
49.2247,,,200.4833,,,7.718917,,False,False,False,False,4095,4095,1.0,12,A,99
47.232,,,167.3306,,,9.258329,,False,False,False,False,4095,4095,1.0,12,A,256
42.7241,,,186.1042,,,-4.412532,,True,False,False,False,1537,4095,0.3753,12,B1,42
49.569,,,192.0535,,,-3.494135,,True,False,False,False,641,4095,0.1565,12,B1,123
49.7833,,,197.4482,,,-6.69681,,True,False,False,False,833,4095,0.2034,12,B1,7
53.8958,,,207.6937,,,-4.034006,,True,False,False,False,769,4095,0.1878,12,B1,99
50.709,,,174.7087,,,-1.623237,,True,False,False,False,561,4095,0.137,12,B1,256
40.7243,,,236.6057,,,-6.206266,,True,False,False,False,241,4095,0.0589,12,B2,42
46.2957,,,244.8036,,,-11.717111,,True,False,False,False,65,4095,0.0159,12,B2,123
52.3258,,,247.6145,,,-11.062737,,True,False,False,False,189,4095,0.0462,12,B2,7
47.3063,,,255.3051,,,-9.012634,,True,False,False,False,141,4095,0.0344,12,B2,99
47.8996,,,222.6857,,,-4.400152,,True,False,False,False,61,4095,0.0149,12,B2,256
64.437,,,427.6363,,,-12.206266,,True,False,False,False,23,4095,0.0056,12,B5,42
70.9487,,,429.495,,,-11.923247,,True,False,False,False,15,4095,0.0037,12,B5,123
78.332,,,436.0914,,,-15.672859,,True,False,False,False,16,4095,0.0039,12,B5,7
65.6636,,,441.8103,,,-16.521878,,True,False,False,False,20,4095,0.0049,12,B5,99
68.7636,,,419.5443,,,-7.200076,,True,False,False,False,13,4095,0.0032,12,B5,256
48.9214,,,165.9234,,,-1.85723,,True,False,False,False,2049,4095,0.5004,12,C,42
37.8451,,,182.0077,,,-1.348654,,True,False,False,False,2049,4095,0.5004,12,C,123
37.0009,,,187.2625,,,-3.861805,,True,False,False,False,2049,4095,0.5004,12,C,7
49.3411,,,200.4833,,,2.356256,,False,False,False,False,2049,4095,0.5004,12,C,99
50.6885,,,167.3306,,,0.36305,,False,False,False,False,2049,4095,0.5004,12,C,256
52.9281,,,296.5295,,,-12.551056,,True,False,False,False,48,4095,0.0117,12,D,42
45.8051,,,297.9212,,,-8.852278,,True,False,False,False,21,4095,0.0051,12,D,123
57.2491,,,306.3245,,,-11.062737,,True,False,False,False,51,4095,0.0125,12,D,7
57.5457,,,315.5959,,,-14.013089,,True,False,False,False,71,4095,0.0173,12,D,99
50.8543,,,290.8129,,,-7.647607,,True,False,False,False,55,4095,0.0134,12,D,256
58.3386,,,248.4264,,,-5.908348,,True,False,False,False,353,4095,0.0862,12,E,42
53.6185,,,239.8179,,,-10.636141,,True,False,False,False,385,4095,0.094,12,E,123
59.7538,,,263.2059,,,-11.543951,,True,False,False,False,531,4095,0.1297,12,E,7
59.1349,,,267.3251,,,-10.57761,,True,False,False,False,177,4095,0.0432,12,E,99
45.217,,,262.0984,,,-7.647607,,True,False,False,False,53,4095,0.0129,12,E,256
38.1049,,,207.0013,,,0.063388,,False,False,False,False,32767,32767,1.0,15,A,42
36.5086,,,220.3099,,,1.090734,,False,False,False,False,32767,32767,1.0,15,A,123
51.7004,,,240.2638,,,9.424933,,False,False,False,False,32767,32767,1.0,15,A,7
41.6256,,,239.1214,,,0.385723,,False,False,False,False,32767,32767,1.0,15,A,99
45.4331,,,219.0748,,,6.545858,,False,False,False,False,32767,32767,1.0,15,A,256
42.9905,,,245.6431,,,-4.412532,,True,False,False,False,6657,32767,0.2032,15,B1,42
52.9203,,,250.2046,,,-8.024831,,True,False,False,False,1665,32767,0.0508,15,B1,123
49.3319,,,262.9488,,,-9.140403,,True,False,False,False,2881,32767,0.0879,15,B1,7
54.2286,,,266.0127,,,-6.025268,,True,False,False,False,1793,32767,0.0547,15,B1,99
51.5147,,,239.5808,,,-4.331657,,True,False,False,False,1841,32767,0.0562,15,B1,256
56.8304,,,335.1446,,,-6.206266,,True,False,False,False,561,32767,0.0171,15,B2,42
58.1655,,,341.9547,,,-11.923247,,True,False,False,False,113,32767,0.0034,15,B2,123
62.2688,,,352.1152,,,-11.062737,,True,False,False,False,509,32767,0.0155,15,B2,7
59.7486,,,352.6242,,,-9.012634,,True,False,False,False,269,32767,0.0082,15,B2,99
47.7754,,,326.5578,,,-4.400152,,True,False,False,False,109,32767,0.0033,15,B2,256
82.0503,,,643.1752,,,-12.206266,,True,False,False,False,26,32767,0.0008,15,B5,42
81.0441,,,643.6462,,,-11.923247,,True,False,False,False,18,32767,0.0005,15,B5,123
87.5994,,,657.5921,,,-15.672859,,True,False,False,False,21,32767,0.0006,15,B5,7
76.7901,,,656.1293,,,-16.521878,,True,False,False,False,23,32767,0.0007,15,B5,99
82.8096,,,640.4165,,,-7.200076,,True,False,False,False,16,32767,0.0005,15,B5,256
38.8959,,,207.0013,,,-1.308889,,True,False,False,False,16385,32767,0.5,15,C,42
38.8343,,,220.3099,,,-0.996569,,True,False,False,False,16385,32767,0.5,15,C,123
54.9679,,,240.2638,,,-1.594797,,True,False,False,False,16385,32767,0.5,15,C,7
45.5803,,,239.1214,,,-3.507851,,True,False,False,False,16385,32767,0.5,15,C,99
53.7655,,,219.0748,,,-0.394908,,True,False,False,False,16385,32767,0.5,15,C,256
63.563,,,431.4198,,,-11.884657,,True,False,False,False,78,32767,0.0024,15,D,42
60.8076,,,434.0723,,,-8.852278,,True,False,False,False,31,32767,0.0009,15,D,123
65.4997,,,449.8251,,,-11.062737,,True,False,False,False,125,32767,0.0038,15,D,7
61.1308,,,451.9149,,,-16.373564,,True,False,False,False,83,32767,0.0025,15,D,99
63.1269,,,429.399,,,-7.647607,,True,False,False,False,81,32767,0.0025,15,D,256
53.4726,,,319.2013,,,-10.775486,,True,False,False,False,833,32767,0.0254,15,E,42
58.3709,,,349.9418,,,-13.141228,,True,False,False,False,369,32767,0.0113,15,E,123
59.4808,,,364.4996,,,-11.897573,,True,False,False,False,1225,32767,0.0374,15,E,7
66.1248,,,388.756,,,-12.468854,,True,False,False,False,297,32767,0.0091,15,E,99
50.236,,,399.1395,,,-7.647607,,True,False,False,False,155,32767,0.0047,15,E,256
